date,total
2023-11-16,18230
2023-11-17,13848
2023-11-18,13089
2023-11-19,10007
2023-11-20,9183
2023-11-21,8850
2023-11-22,8875
2023-11-23,4424
2023-11-24,4401
2023-11-25,5578
2023-11-26,3150
2023-11-27,6994
2023-11-28,7719
2023-11-29,10328
2023-11-30,13276
2023-12-01,5421
2023-12-02,9294
2023-12-03,6086
2023-12-04,9766
2023-12-05,7857
2023-12-06,10440
2023-12-07,12695
2023-12-08,13095
2023-12-09,9826
2023-12-10,6302
2023-12-11,8404
2023-12-12,9368
2023-12-13,9697
2023-12-14,11035
2023-12-15,11066
2023-12-16,3980
2023-12-17,6218
2023-12-18,6563
2023-12-19,7091
2023-12-20,8618
2023-12-21,8558
2023-12-22,4370
2023-12-23,4847
2023-12-24,4242
2023-12-25,1909
2023-12-26,4470
2023-12-27,6006
2023-12-28,3891
2023-12-29,4881
2023-12-30,5079
2023-12-31,2998
